"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	3.062224	0.000000	366.903751	0.000026	367.000696
2000	3.181001	0.000000	365.180540	0.000044	365.275666
2000	3.126921	0.000000	367.074598	0.000027	367.169645
2000	3.034041	0.000000	365.468378	0.000025	365.563243
2000	3.250243	0.000000	367.754795	0.000026	367.857361
2000	3.347716	0.000000	367.612534	0.000026	367.711825
2000	3.265023	0.000000	368.371067	0.000028	368.474015
2000	3.087310	0.000000	363.981331	0.000026	364.076446
2000	3.212575	0.000000	366.313841	0.000028	366.413754
2000	3.175152	0.000000	365.960121	0.000025	366.058184
2000	3.324272	0.000000	366.793557	0.000026	366.891988
2000	3.076613	0.000000	368.313428	0.000025	368.413463
2000	3.215149	0.000000	365.213324	0.000027	365.310511
2000	3.057630	0.000000	369.443213	0.000026	369.540174
2000	3.227418	0.000000	366.931500	0.000026	367.033214
2000	3.095662	0.000000	366.602274	0.000025	366.699358
2000	3.321443	0.000000	368.599300	0.000026	368.697997
2000	3.197283	0.000000	365.975231	0.000026	366.071273
2000	3.392896	0.000000	366.210351	0.000025	366.305039
2000	3.144772	0.000000	366.535871	0.000024	366.629612
2000	3.150983	0.000000	368.072539	0.000026	368.172180
2000	3.402184	0.000000	366.540715	0.000025	366.641699
2000	3.305313	0.000000	364.400528	0.000026	364.495223
2000	3.148124	0.000000	367.070495	0.000026	367.175975
2000	3.077126	0.000000	366.809645	0.000025	366.912588
2000	3.204866	0.000000	364.497436	0.000025	364.595124
2000	3.365322	0.000000	368.608573	0.000026	368.707823
2000	3.167246	0.000000	367.737307	0.000026	367.834301
2000	3.319657	0.000000	367.747151	0.000028	367.846517
2000	3.110756	0.000000	365.729606	0.000025	365.823605
2000	3.218568	0.000000	363.746380	0.000025	363.840267
2000	3.398613	0.000000	365.210566	0.000025	365.304654
2000	3.405698	0.000000	367.241584	0.000026	367.340328
2000	3.294041	0.000000	367.590846	0.000046	367.691002
2000	3.250621	0.000000	365.330521	0.000043	365.424435
2000	3.110049	0.000000	366.668322	0.000027	366.763660
2000	3.421038	0.000000	363.160240	0.000026	363.258282
2000	3.219215	0.000000	364.998557	0.000026	365.092238
2000	3.346361	0.000000	365.533844	0.000026	365.628516
2000	3.342098	0.000000	366.537566	0.000025	366.635496
2000	2.969668	0.000000	365.354311	0.000026	365.450775
2000	3.159477	0.000000	366.896565	0.000026	366.996720
2000	3.041946	0.000000	366.682706	0.000026	366.779785
2000	3.304901	0.000000	367.275309	0.000027	367.373216
2000	3.248838	0.000000	365.541423	0.000025	365.639522
2000	3.223432	0.000000	368.485927	0.000027	368.587330
2000	3.263031	0.000000	367.578527	0.000052	367.677581
2000	3.081401	0.000000	368.623019	0.000026	368.720973
2000	3.503812	0.000000	366.542557	0.000026	366.642921
2000	3.351881	0.000000	369.578194	0.000027	369.677565
2000	3.323143	0.000000	365.303422	0.000025	365.399289
2000	3.039308	0.000000	369.172799	0.000025	369.274681
2000	3.142166	0.000000	366.489561	0.000025	366.584053
2000	3.390814	0.000000	364.789857	0.000027	364.886143
2000	3.128204	0.000000	365.510200	0.000025	365.605051
2000	3.333739	0.000000	369.105221	0.000026	369.206135
2000	3.199331	0.000000	364.761986	0.000025	364.857010
2000	3.232585	0.000000	366.739698	0.000026	366.834353
2000	3.192165	0.000000	367.674382	0.000043	367.771061
2000	3.220326	0.000000	368.285592	0.000026	368.386457
2000	3.136019	0.000000	367.091600	0.000033	367.191298
