"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	3.329114	0.000000	360.931786	0.000024	361.003631
2000	3.229375	0.000000	358.868993	0.000027	358.944479
2000	3.286382	0.000000	361.627807	0.000025	361.698998
2000	3.191509	0.000000	360.456663	0.000032	360.527852
2000	3.188794	0.000000	362.232636	0.000024	362.310688
2000	3.327815	0.000000	363.023445	0.000046	363.094630
2000	3.240900	0.000000	359.440240	0.000025	359.511367
2000	3.163783	0.000000	360.493818	0.000027	360.565273
2000	3.138836	0.000000	360.882101	0.000027	360.953554
2000	3.218480	0.000000	358.841739	0.000025	358.913333
2000	3.141035	0.000000	358.589102	0.000036	358.660091
2000	3.274875	0.000000	362.259591	0.000028	362.331137
2000	3.191043	0.000000	361.854462	0.000024	361.926718
2000	3.333975	0.000000	362.126888	0.000028	362.198551
2000	3.320184	0.000000	360.453397	0.000026	360.524712
2000	3.226302	0.000000	360.931304	0.000042	361.003091
2000	3.348728	0.000000	359.817742	0.000029	359.889005
2000	3.230713	0.000000	357.735314	0.000025	357.807349
2000	3.467808	0.000000	361.518158	0.000028	361.589505
2000	3.303191	0.000000	358.520097	0.000029	358.596906
2000	3.192914	0.000000	359.293488	0.000028	359.364656
2000	3.158168	0.000000	360.800916	0.000026	360.872497
2000	3.150046	0.000000	359.247044	0.000027	359.318103
2000	3.184212	0.000000	360.834306	0.000025	360.906067
2000	3.230283	0.000000	361.506478	0.000035	361.578091
2000	3.236054	0.000000	360.543057	0.000086	360.614171
2000	3.198502	0.000000	358.843287	0.000028	358.915957
2000	3.187957	0.000000	360.558559	0.000043	360.629862
2000	3.106565	0.000000	359.920683	0.000035	359.992237
2000	3.245432	0.000000	360.426035	0.000030	360.497038
2000	3.192305	0.000000	361.824557	0.000025	361.896579
2000	3.148039	0.000000	360.530045	0.000025	360.602089
2000	3.208741	0.000000	361.306220	0.000027	361.377431
2000	3.312032	0.000000	361.380959	0.000027	361.452016
2000	3.351723	0.000000	361.963671	0.000026	362.035184
2000	3.302809	0.000000	360.247993	0.000029	360.319132
2000	3.232537	0.000000	358.706289	0.000025	358.778216
2000	3.179141	0.000000	360.957744	0.000027	361.028848
2000	3.132559	0.000000	360.947052	0.000024	361.031836
2000	3.217395	0.000000	359.638545	0.000027	359.710263
2000	3.180873	0.000000	360.998414	0.000028	361.069560
2000	3.169177	0.000000	361.454762	0.000027	361.526291
2000	3.204043	0.000000	364.332940	0.000024	364.405242
2000	3.302867	0.000000	386.112306	0.000024	386.196182
2000	3.178196	0.000000	389.535505	0.000025	389.617316
2000	3.201181	0.000000	362.863315	0.000025	362.936740
2000	3.220620	0.000000	360.968277	0.000025	361.041529
2000	3.189421	0.000000	360.316941	0.000024	360.387502
2000	3.277203	0.000000	359.935062	0.000025	360.006741
2000	3.243959	0.000000	360.999393	0.000024	361.070654
2000	3.137404	0.000000	361.114523	0.000025	361.185746
2000	3.175247	0.000000	362.077661	0.000029	362.149245
